delay_group,orders,average_delivery_days,average_delay_days,average_review_score,order_share
On time / early,88644,10.884260306415007,-13.008280170071671,4.294292012144172,0.9188763346117964
1-3 days late,2662,21.076333922906752,1.402238235488494,3.7668816388467374,0.027594070695553023
>3 days late,5164,36.90194266933471,13.752796311088877,1.93681592039801,0.05352959469265056
