payment_type,payment_value,payment_records,unique_orders,value_share
credit_card,12542084.19,76795,76505,0.7834458352834917
boleto,2869361.27,19784,19784,0.17923569183960728
voucher,379436.87,5775,3866,0.023701661625866
debit_card,217989.79,1529,1528,0.01361681125103522
not_defined,0.0,3,3,0.0
