customer_state,orders,revenue,freight,contribution_proxy,avg_order_value,avg_delivery_days,late_rate,avg_review_score,freight_ratio,margin_proxy
SP,41375,5202955.05,718723.07,4484231.98,143.12212978851963,8.76135656379617,0.05769184290030212,4.195610044840141,0.13813747439543994,0.8618625256045601
RJ,12762,1824092.67,305589.31,1518503.36,166.87682024761008,15.310052815555375,0.13038708666353235,3.8933031698153147,0.16752948741359724,0.8324705125864028
MG,11544,1585308.03,270853.46,1314454.57,160.79014986139987,12.010258342914689,0.05526680526680527,4.154892726321298,0.17085226017558242,0.8291477398244176
RS,5432,750304.02,135522.74,614781.28,163.07561855670104,15.300276192406853,0.0703240058910162,4.14809682187731,0.18062376901565846,0.8193762309843415
PR,4998,683083.76,117851.68,565232.08,160.25118847539014,11.991582227413277,0.04921968787515006,4.20152855993564,0.17252888576944062,0.8274711142305593
SC,3612,520553.34,89660.26,430893.08,168.94064230343298,14.959297453377397,0.09579180509413067,4.090401785714286,0.17224029337704372,0.8277597066229563
BA,3358,511349.99,100156.68,411193.31,182.10442823108994,19.335465824489262,0.13609291244788566,3.8755649291955407,0.19586717895506361,0.8041328210449363
DF,2125,302603.94,50625.5,251978.44,166.2256188235294,12.96756810897436,0.0691764705882353,4.083451536643026,0.16729954011834744,0.8327004598816525
GO,2007,294591.95,53114.98,241476.97,173.24710014947684,15.606338535456764,0.07972097658196313,4.057171514543631,0.1803001745295484,0.8196998254704515
ES,2025,275037.31,49764.6,225272.71,160.3960049382716,15.789307110368513,0.12049382716049382,4.05005005005005,0.18093763351597641,0.8190623664840235
PE,1648,262788.03,59449.659999999996,203338.37,195.53257888349515,18.448322994408407,0.10436893203883495,4.01594114040466,0.22622666641246936,0.7737733335875305
CE,1327,227254.71,48351.59,178903.12,207.6912584777694,21.26657863492891,0.14770158251695553,3.870159453302961,0.21276386306800857,0.7872361369319915
PA,970,178947.81,38699.3,140248.51,224.37846391752575,23.77291691136168,0.12061855670103093,3.8547544409613375,0.2162602604636514,0.7837397395363487
MT,903,156453.53,29715.43,126738.1,206.16717607973422,18.05575601172561,0.0664451827242525,4.108816964285714,0.18993134894431593,0.8100686510556842
MA,740,119648.22,31523.77,88124.45,204.28647297297297,21.572976474120562,0.19054054054054054,3.772108843537415,0.26347044694856303,0.736529553051437
MS,709,116812.64,19144.03,97668.61,191.75834978843443,15.618319018465684,0.11424541607898449,4.135785007072136,0.16388663076187646,0.8361133692381235
PB,532,115268.08,25719.73,89548.35,265.0146804511278,20.426767609606706,0.10714285714285714,4.02851711026616,0.22312968169505382,0.7768703183049462
PI,493,86914.08,21218.2,65695.88,219.33525354969575,19.45709826291628,0.15415821501014199,3.9221311475409837,0.2441284542159337,0.7558715457840663
RN,482,83034.98,18860.1,64174.88,211.40058091286306,19.27815620604782,0.10580912863070539,4.111924686192468,0.2271343956486772,0.7728656043513228
AL,411,80314.81,15914.59,64400.22,234.13479318734792,24.543855361974067,0.23114355231143552,3.764705882352941,0.19815261967251122,0.8018473803274888
SE,345,58920.85,14111.47,44809.38,211.68788405797105,21.519788280818133,0.14782608695652175,3.8372093023255816,0.2394987512909267,0.7605012487090732
TO,279,49621.74,11732.68,37889.06,219.90831541218637,17.65806260982698,0.12544802867383512,4.100719424460432,0.23644233354170976,0.7635576664582903
RO,247,46140.64,11417.38,34723.26,233.0284210526316,19.37203651310776,0.02834008097165992,4.117886178861789,0.24744736960735697,0.7525526303926431
AM,147,22356.84,5478.89,16877.95,189.3587074829932,26.42599090038314,0.04081632653061224,4.220689655172414,0.24506549226098143,0.7549345077390186
AC,81,15982.95,3686.75,12296.199999999999,242.8358024691358,21.035712962962965,0.037037037037037035,4.049382716049383,0.23066768024676296,0.7693323197532369
AP,68,13474.3,2788.5,10685.800000000001,239.15882352941176,27.185067716970703,0.04411764705882353,4.1940298507462686,0.2069495261349384,0.7930504738650618
RR,46,7829.43,2235.19,5594.24,218.79608695652175,29.387546014001806,0.10869565217391304,3.608695652173913,0.2854856611528553,0.7145143388471447
