category,items,orders,revenue,freight,avg_item_price,avg_freight,avg_review_score,contribution_proxy,margin_proxy,freight_ratio,revenue_per_order_containing_category
health_beauty,9670,8836,1258681.34,182566.73,130.16353050672183,18.879703205791106,130.16353050672183,1076114.61,0.8549539711139279,0.14504602888607215,142.4492236306021
watches_gifts,5991,5624,1205005.68,100535.93,201.13598397596394,16.7811600734435,201.13598397596394,1104469.75,0.9165680862184816,0.08343191378151844,214.2613229018492
bed_bath_table,11115,9417,1036988.68,204693.04,93.29632748538012,18.415928025191185,93.29632748538012,832295.64,0.8026082213356466,0.1973917786643534,110.1187936710205
sports_leisure,8641,7720,988048.97,168607.51,114.34428538363615,19.512499710681634,114.34428538363615,819441.46,0.8293530835824868,0.1706469164175132,127.98561787564766
computers_accessories,7827,6689,911954.32,147318.08,116.51390315574294,18.821781014437203,116.51390315574294,764636.24,0.838458926319906,0.16154107368009396,136.33642098968454
furniture_decor,8334,6449,729762.49,172749.3,87.56449364050876,20.728257739380847,87.56449364050876,557013.19,0.7632801050106042,0.23671989498939577,113.15901535121723
cool_stuff,3796,3632,635290.85,84039.1,167.357968914647,22.138856691253952,167.357968914647,551251.75,0.8677155510739688,0.1322844489260313,174.91488160792952
housewares,6964,5884,632248.66,146149.11,90.78814761631247,20.986374210224007,90.78814761631247,486099.55000000005,0.7688423570561621,0.23115764294383792,107.45218558803536
auto,4235,3897,592720.11,92664.21,139.9575230224321,21.880569067296342,139.9575230224321,500055.89999999997,0.8436627871458587,0.15633721285414123,152.0965127020785
garden_tools,4347,3518,485256.46,98962.75,111.63019553715206,22.765757994018863,111.63019553715206,386293.71,0.7960609323985095,0.20393906760149055,137.93532120523025
toys,4117,3886,483946.6,77425.95,117.54836045664318,18.806400291474375,117.54836045664318,406520.64999999997,0.8400113772883206,0.15998862271167935,124.53592382913021
baby,3065,2885,411764.89,68353.11,134.34417292006526,22.301177814029366,134.34417292006526,343411.78,0.8339996642258645,0.16600033577413556,142.72613171577123
perfumery,3419,3162,399124.87,54213.84,116.73731207955542,15.856636443404502,116.73731207955542,344911.03,0.8641682238443323,0.13583177615566777,126.22544908285894
telephony,4545,4199,323667.52999999997,71215.79,71.21397799779977,15.669040704070406,71.21397799779977,252451.74,0.7799723994557007,0.22002760054429926,77.08205048821146
office_furniture,1691,1273,273960.7,68571.95,162.0110585452395,40.551123595505615,162.0110585452395,205388.75,0.7497015082820273,0.2502984917179727,215.20871956009427
stationery,2517,2311,230943.23,46798.48,91.75336909018674,18.592959872864522,91.75336909018674,184144.75,0.7973593770209241,0.20264062297907587,99.93216356555604
computers,203,181,222963.13,9836.3,1098.3405418719212,48.45467980295566,1098.3405418719212,213126.83000000002,0.9558837373694925,0.04411626263050756,1231.840497237569
pet_shop,1947,1710,214315.41,39561.24,110.0746841294299,20.319075500770413,110.0746841294299,174754.17,0.8154064609726385,0.1845935390273616,125.33064912280702
musical_instruments,680,628,191498.88,18638.49,281.616,27.409544117647062,281.616,172860.39,0.9026705012582842,0.09732949874171588,304.9345222929936
small_appliances,679,630,190648.58,16020.25,280.7784683357879,23.593888070692195,280.7784683357879,174628.33,0.9159697386678674,0.08403026133213266,302.6167936507936
unknown,1603,1451,179535.28,28169.81,111.99955084217093,17.573181534622584,111.99955084217093,151365.47,0.8430959642026904,0.1569040357973096,123.73210199862164
electronics,2767,2550,160246.74,46578.32,57.913530899891576,16.833509215757136,57.913530899891576,113668.41999999998,0.7093337437004958,0.29066625629950416,62.84185882352941
consoles_games,1137,1062,157465.22,19828.02,138.49183817062445,17.438891820580476,138.49183817062445,137637.2,0.8740800031905459,0.12591999680945418,148.27233521657251
fashion_bags_accessories,2031,1864,152823.54,31450.0,75.24546528803546,15.484982767109798,75.24546528803546,121373.54000000001,0.7942070966292235,0.20579290337077652,81.98687768240343
construction_tools_construction,929,748,144677.59,20650.41,155.7347578040904,22.22864370290635,155.7347578040904,124027.18,0.8572660078177968,0.1427339921822032,193.41923796791443
luggage_accessories,1092,1034,140429.98,30445.23,128.5988827838828,27.880247252747253,128.5988827838828,109984.75000000001,0.7831999263974829,0.21680007360251705,135.8123597678917
home_appliances_2,238,234,113317.74,10600.18,476.1249579831933,44.53857142857143,476.1249579831933,102717.56,0.9064561294639303,0.09354387053606963,484.2638461538462
home_construction,604,490,83088.12,13832.24,137.56311258278146,22.901059602649006,137.56311258278146,69255.87999999999,0.8335232521809375,0.16647674781906246,169.5675918367347
home_appliances,771,764,80171.53,14818.9,103.98382619974059,19.220363164721142,103.98382619974059,65352.63,0.8151600699150933,0.1848399300849067,104.93655759162303
agro_industry_and_commerce,212,182,72530.47,5843.6,342.12485849056606,27.56415094339623,342.12485849056606,66686.87,0.9194324812730428,0.0805675187269571,398.51906593406596
furniture_living_room,503,422,68916.56,17968.170000000002,137.0110536779324,35.72200795228628,137.0110536779324,50948.39,0.7392764525681491,0.26072354743185094,163.30938388625592
